TransactionID,Date,BranchID,ServiceID,Quantity,Revenue,CustomerType
T00001,2015-10-30,F002,S025,3,135.0,Trial
T00002,2015-11-16,F001,S013,1,35.0,Non-Member
T00003,2015-11-13,F001,S022,2,9.0,Non-Member
T00004,2015-11-30,F002,S023,1,24.99,Non-Member
T00005,2015-12-04,F002,S014,3,225.0,Member
T00006,2015-10-12,F001,S022,1,4.5,Non-Member
T00007,2015-10-22,F001,S009,3,72.0,Non-Member
T00008,2015-11-11,F001,S013,1,35.0,Member
T00009,2015-12-14,F002,S021,3,25.5,Non-Member
T00010,2015-11-12,F002,S013,2,70.0,
T00011,2015-11-03,F002,S013,2,70.0,
T00012,2015-10-24,F002,S022,2,,Trial
T00013,2015-11-06,F001,S004,3,75.0,Member
T00014,2015-12-28,F002,S003,1,20.0,Trial
T00015,2015-11-27,F001,S017,1,90.0,Trial
T00016,2015-10-19,F001,S007,3,,Member
T00017,2015-12-28,F001,S015,3,135.0,Trial
T00018,2015-12-05,F002,S025,1,,Trial
T00019,2015-12-03,F001,S009,2,48.0,
T00020,2015-10-22,F001,S003,2,40.0,Non-Member
T00021,2015-10-26,F001,S011,2,56.0,
T00022,2015-10-13,F001,S006,2,50.0,Non-Member
T00023,2015-12-09,F001,S013,1,35.0,Non-Member
T00024,2015-10-01,F002,S025,2,90.0,Trial
T00025,2015-11-29,F002,S002,3,84.0,Member
T00026,2015-11-23,F002,S014,1,75.0,Non-Member
T00027,2015-11-29,F002,S005,3,90.0,Trial
T00028,2015-10-01,F002,S014,3,225.0,Trial
T00029,2015-12-28,F001,S021,2,17.0,Non-Member
T00030,2015-10-13,F002,S005,1,30.0,Trial
T00031,2015-12-09,F002,S018,1,129.0,Member
T00032,2015-12-24,F002,S004,3,75.0,Trial
T00033,2015-12-13,F001,S002,1,28.0,Non-Member
T00034,2015-11-19,F002,S021,2,17.0,Trial
T00035,2015-11-02,F002,S015,2,90.0,Member
T00036,2015-12-15,F001,S013,1,35.0,Trial
T00037,2015-12-31,F001,S020,3,60.0,Member
T00038,2015-11-19,F002,S019,1,,Member
T00039,2015-12-12,F002,S021,1,8.5,Non-Member
