ProductID,ProductName,Category,Subcategory,UnitPrice
P001,Adult Ticket - Standard,Tickets,Regular,14.99
P002,Child Ticket - Standard,Tickets,Regular,10.99
P003,Senior Ticket - Standard,Tickets,Regular,11.99
P004,Adult Ticket - 3D,Tickets,3D,18.99
P005,Child Ticket - 3D,Tickets,3D,14.99
P006,Adult Ticket - IMAX,Tickets,Premium,21.99
P007,Child Ticket - IMAX,Tickets,Premium,16.99
P008,VIP Ticket - Standard,Tickets,VIP,24.99
P009,VIP Ticket - Premium,Tickets,VIP,29.99
P010,Matinee Ticket,Tickets,Discount,9.99
P011,Small Popcorn,Concessions,Snacks,7.99
P012,Medium Popcorn,Concessions,Snacks,9.99
P013,Large Popcorn,Concessions,Snacks,11.99
P014,Small Drink,Concessions,Beverages,5.5
P015,Medium Drink,concessions,Beverages,6.5
P016,Large Drink,Concessions,Beverages,7.5
P017,Combo #1,Concessions,Combo,16.99
P018,Combo #2,Concessions,Combo,19.99
P019,Combo #3,Concessions,Combo,24.99
P020,Nachos,Concessions,Food,9.99
P021,Hot Dog,Concessions,Food,7.99
P022,Candy - Assorted,Concessions,Candy,4.99
P023,Ice Cream,Concessions,Dessert,6.99
P024,Pretzel,Concessions,Snacks,6.5
P025,Pizza Slice,Concessions,Food,8.99
P026,Gift Card,Gift Cards,Gift Cards,25.0
P027,Movie Poster,Merchandise,Collectibles,12.99
P028,Collectible Cup,Merchandise,Collectibles,18.99
